folder,file,extent
2,2_2,"-104.8552825, 48.63337, -100.02115, 56.442495"
2,13_9,"-83.15994, 19.3029, -79.5, 24.62154"
2,13_8,"-83.10722, 29.079135, -81.2440275, 30.640575"
2,6_5,"-115.918505, 46.034675, -112.33088, 49.81665"
2,13_1,"-96.15763, 16.026185, -93.30389, 18.50592"
2,13_0,"-81.77525, 24.55831, -78.6518833333, 27.3543271429"
2,13_3,"-90.521835, -0.657905, -79.685, 13.33333"
2,13_2,"-93.27694, 14.08333, -90.25, 17.43528"
2,13_5,"-82.75974, 26.487115, -81.7996166667, 28.757708"
2,13_4,"-74.075, 18.041665, -70.5041733333, 21.597275"
2,13_7,"-73.42222, 18.45, -73.42222, 18.45"
2,13_6,"-81.9813233333, 27.614895, -80.370745, 29.18876"
2,6_7,"-123.945045714, 44.1685975, -120.12145, 46.790815"
2,11_9,"-7.54566, 7.375, 0.65136, 16.50694"
2,11_8,"14.54278, -34.2096333333, 25.7789633333, -22.82833"
2,11_7,"-11.73833, 4.58886, -7.58333, 8.5"
2,11_6,"25.6942433333, -32.94176, 32.44419, -25.06847"
2,11_5,"45.722905, -67.195, 73.50952, -12.23333"
2,11_4,"8.366805, 1.30694, 19.0, 16.0844"
2,11_3,"23.6, -22.55167, 35.11667, -11.286605"
2,11_2,"29.55, -11.35, 29.55, -11.35"
2,11_1,"29.9110025, -12.53333, 46.36667, 0.597303333333"
2,11_0,"-0.636973333333, 0.0, 7.61667, 11.88742"
2,3_1,"-95.5789433333, 32.846875, -92.2358, 37.28685"
2,3_0,"-105.23018, 17.965505, -100.4908325, 22.673735"
2,3_3,"-96.4062233333, 28.6147333333, -93.963602, 31.5894"
2,3_2,"-108.71655, 37.191815, -103.95663, 39.4804266667"
2,3_5,"-110.1228, 28.46065, -103.45796, 33.069835"
2,3_4,"-98.71744, 34.48602, -95.28811, 38.031"
2,3_7,"-93.42249, 29.754536, -90.414786, 33.03179"
2,3_6,"-98.9480925, 31.2322909091, -95.81295125, 34.0757766667"
2,3_9,"-103.54383, 35.7345125, -98.88889, 38.90552"
2,3_8,"-100.72567, 27.88091, -97.0453533333, 30.6102327273"
2,3_13,"-110.539365, 23.3109333333, -103.241055, 27.109485"
2,2_3,"-100.3167275, 42.794865, -96.6865433333, 45.858598"
2,2_4,"-109.715418, 42.9991525, -105.38527, 48.100845"
2,2_5,"-97.28618, 40.4134157143, -94.580556, 43.39319"
2,2_6,"-99.99958, 47.006345, -94.7631166667, 56.21554"
2,2_7,"-108.747253333, 48.735, -105.61778, 55.71682"
2,4_9,"-81.1329541667, 32.7878388889, -77.887705, 35.310045"
2,8_12,"146.890916667, -35.86546, 152.57734125, -29.7053766667"
2,14_8,"-73.1968666667, 41.2437033333, -70.19354, 43.89682"
2,14_9,"-71.7701725, 42.47959875, -71.7701725, 42.47959875"
2,6_2,"-71.7701725, 42.47959875, -71.7701725, 42.47959875"
2,14_2,"-78.4467666667, 38.13797, -76.4430792308, 39.96069875"
2,14_3,"-77.1965371429, 40.28997, -75.1826983333, 43.04152"
2,1_11,"121.992596667, 33.1678183333, 132.933345, 55.156"
2,1_10,"116.45508, -2.12684, 135.90405, 11.252774"
2,14_6,"-80.39886, 42.34635, -76.48402, 45.69778"
2,10_11,"-69.96667, 6.18472, -66.0, 12.5"
2,10_12,"-80.29933, 7.46259, -71.56217, 10.8378333333"
2,10_13,"-61.38333, 13.041665, -59.475, 15.55"
2,8_14,"113.77094, -25.0, 125.273815, -16.09804"
2,4_0,"-88.3020075, 34.0736466667, -85.5689216667, 37.959006"
2,0_10,"-74.32014, -55.98333, -60.392378, -45.73831"
2,0_11,"-74.32014, -49.61065, -74.32014, -49.61065"
2,0_12,"-64.0, -37.46091, -54.16452, -31.63073"
2,0_13,"-59.65694, -34.43066, -59.65694, -34.43066"
2,8_13,"158.01009, -16.4332, 179.36451, 11.41532"
2,8_8,"78.415415, -68.625415, 124.73214, -25.84615"
2,9_13,"1.01927, 27.53914, 16.613655, 39.348445"
2,9_12,"13.0059614286, 45.18110125, 21.4170114286, 50.292465"
2,9_11,"-16.82028, 13.7525, -0.22917, 24.49215"
2,9_10,"-3.78507555556, 48.1031766667, 1.341616, 54.7407563158"
2,9_14,"16.41667, 51.383515, 28.63122, 70.68059"
2,7_9,"74.05752, 25.46061, 83.6958925, 29.55229"
2,7_8,"85.11656, 20.62995, 96.0, 36.0"
2,12_0,"32.86856, 35.0, 40.133605, 41.7299"
2,12_1,"47.08764, 33.6111, 53.8809433333, 40.37409"
2,12_2,"20.0742283333, 31.44354, 27.572385, 41.498402"
2,12_3,"26.15585, 23.56469, 34.3865233333, 31.3036583333"
2,12_4,"53.95174, 51.743, 66.60194, 66.53"
2,12_5,"32.0, 44.70676, 40.3241, 54.974155"
2,12_6,"32.2706025, 9.49363333333, 47.5, 24.46861"
2,12_7,"31.421365, 29.78218, 39.71667, 36.763515"
2,12_8,"25.2779, 52.2483766667, 35.020655, 60.0"
2,12_9,"41.53699, 50.6932, 52.4800566667, 61.67642"
2,8_1,"149.884445, -31.50437, 168.32188, -17.73381"
2,6_8,"-124.20304, 53.13319, -117.244415, 59.03306"
2,6_9,"-131.4566, 49.75152, -124.658613333, 57.43291"
2,10_6,"-62.90214, 7.33326, -60.52704, 12.18333"
2,10_7,"-61.7166666667, 12.0388866667, -61.7166666667, 12.0388866667"
2,10_4,"-76.13593, 2.8, -69.21667, 6.62293666667"
2,10_5,"-70.0, -14.65281, -55.0, -2.1921"
2,10_2,"-64.95709, 16.25, -61.58333, 18.463465"
2,10_3,"-80.79332, -4.82327, -77.45087, 1.51469"
2,10_0,"-61.02179, -2.454525, -53.200095, 7.714935"
2,10_1,"-57.7360833333, 5.46080333333, -57.7360833333, 5.46080333333"
2,14_10,"-71.138755, 43.8225885714, -66.92327, 52.0834"
2,14_11,"-79.679166, 39.6000383333, -77.58415, 42.0704966667"
2,14_12,"-77.84035625, 34.790854, -75.66809, 37.6762842857"
2,14_13,"-74.6154311111, 40.2708972727, -72.7833226316, 42.24103"
2,14_14,"-75.708675, 42.8484153846, -72.24731, 47.64196"
2,7_0,"78.54188, 40.54184, 100.0, 60.0"
2,10_8,"-69.98857, 15.0, -65.87905, 18.72338"
2,10_9,"-45.21583, -9.37833, -35.2315033333, -2.10367666667"
2,4_1,"-90.9092875, 30.0127426667, -88.10618, 33.450374"
2,7_6,"63.83333, 39.79306, 76.4120766667, 54.95913"
2,7_1,"56.09449, 27.8848, 64.65219, 39.75"
2,1_13,"103.0739175, 9.788335, 109.50891, 18.240955"
2,8_9,"138.0, -11.61474, 160.19052, -2.71483333333"
2,7_3,"53.89551, 21.0, 60.686545, 28.4703"
2,1_12,"135.626496, 34.9012233333, 142.77999, 48.62698"
2,7_2,"73.0489475, 30.878335, 77.03786, 34.581605"
2,14_0,"-66.0413133333, 43.747774, -60.3707988889, 49.66683"
2,6_3,"-124.367465, 41.750455, -119.84344, 43.999824"
2,7_5,"73.01667, 3.01667, 92.6488433333, 11.3750266667"
2,14_1,"-68.51727, 60.05, -39.2, 82.191665"
2,2_12,"-108.612632, 39.73791, -103.244428333, 43.03247"
2,10_10,"-80.33333, -13.75, -72.59766, -5.0"
