folder,file,extent
2,11_1,"-58.091184, -35.0764999, -57.5175362, -34.859623"
2,11_0,"-58.7595053, -35.0491425, -58.3807288, -34.75813435"
2,3_1,"-58.45836695, -34.8020287, -58.45836695, -34.8020287"
2,3_0,"-58.45836695, -34.8020287, -58.45836695, -34.8020287"
2,3_3,"-58.45836695, -34.8020287, -58.45836695, -34.8020287"
2,3_2,"-58.45836695, -34.8020287, -58.45836695, -34.8020287"
2,3_5,"-58.45836695, -34.8020287, -58.45836695, -34.8020287"
2,3_4,"-58.45836695, -34.8020287, -58.45836695, -34.8020287"
2,3_7,"-58.45836695, -34.8020287, -58.45836695, -34.8020287"
2,3_6,"-58.45836695, -34.8020287, -58.45836695, -34.8020287"
2,3_9,"-58.45836695, -34.8020287, -58.45836695, -34.8020287"
2,3_8,"-58.45836695, -34.8020287, -58.45836695, -34.8020287"
2,2_2,"-58.45836695, -34.8020287, -58.45836695, -34.8020287"
2,2_3,"-58.45836695, -34.8020287, -58.45836695, -34.8020287"
2,2_4,"-58.45836695, -34.8020287, -58.45836695, -34.8020287"
2,2_5,"-61.1678085, -33.1186032667, -60.1575344, -32.5857964"
2,2_6,"-64.3496704, -34.4851264, -63.1969317, -32.7008018"
2,2_7,"-61.2166667, -32.0697098, -60.3058166, -31.6000004"
2,4_9,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,8_12,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,14_8,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,14_9,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,14_2,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,1_12,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,1_11,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,14_1,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,14_6,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,14_7,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,14_4,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,14_5,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,4_0,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,0_10,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,0_11,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,0_12,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,0_13,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,9_12,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,9_11,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,9_10,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,12_0,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,12_1,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,12_2,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,12_3,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,12_4,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,12_5,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,12_6,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,12_7,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,12_8,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,12_9,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,6_8,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,6_9,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,7_5,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,7_9,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,7_8,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,14_10,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,7_4,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,7_7,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,7_6,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,7_1,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,7_0,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,7_3,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,7_2,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,4_1,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,1_13,"-60.7653809, -31.6653404, -60.7653809, -31.6653404"
2,8_8,"-68.8943461, -32.9599367333, -68.6916501, -32.84685"
2,14_3,"-68.81064, -32.89272, -68.81064, -32.89272"
2,14_0,"-68.81064, -32.89272, -68.81064, -32.89272"
2,1_10,"-68.81064, -32.89272, -68.81064, -32.89272"
2,2_12,"-68.81064, -32.89272, -68.81064, -32.89272"
2,2_13,"-68.81064, -32.89272, -68.81064, -32.89272"
2,2_10,"-64.3383333, -31.4651131667, -64.1262474, -31.1654701"
2,2_11,"-64.2221451, -31.3995266, -64.2221451, -31.3995266"
2,2_14,"-64.2221451, -31.3995266, -64.2221451, -31.3995266"
2,11_13,"-64.2221451, -31.3995266, -64.2221451, -31.3995266"
2,11_12,"-59.1501056, -34.6020889, -58.8830757, -34.0988083"
2,1_14,"-59.1501056, -34.595477, -59.1501056, -34.595477"
2,8_5,"-59.1501056, -34.595477, -59.1501056, -34.595477"
2,11_11,"-58.4435430167, -34.6942049714, -58.3496872, -34.5659652333"
2,11_10,"-58.3673445667, -34.8837665, -58.1784125, -34.695385"
2,9_7,"-58.1784125, -34.8837665, -58.1784125, -34.8837665"
2,12_12,"-58.1784125, -34.8837665, -58.1784125, -34.8837665"
2,12_13,"-58.1784125, -34.8837665, -58.1784125, -34.8837665"
2,12_10,"-58.1784125, -34.8837665, -58.1784125, -34.8837665"
2,12_11,"-58.1784125, -34.8837665, -58.1784125, -34.8837665"
2,11_14,"-58.984108, -34.8867264, -58.59618438, -34.5649942"
